Albania,4
Algeria,3
American Samoa,1
Andorra,12
Argentina,19
Armenia,7
Australia,19
Austria,23
Azerbaijan,6
,-1
Belarus,7
Belgium,21
Bermuda,8
Bolivia,6
Bosnia and Herzegovina,7
Brazil,8
British Virgin Islands,2
Bulgaria,20
,-1
Cameroon,1
Canada,23
Cayman Islands,2
Chile,17
China,11
Chinese Taipei,12
Colombia,2
Costa Rica,6
Croatia,8
Cyprus,11
Czech Republic,7
Czechoslovakia,16
,-1
Denmark,14
Dominica,1
,-1
East Timor,2
Ecuador,1
Egypt,1
Eritrea,1
Estonia,10
Ethiopia,2
,-1
Fiji,3
Finland,23
France,23
,-1
Georgia,7
Germany,12
East Germany,6
West Germany,6
United Team of Germany,3
Ghana,2
Great Britain,23
Greece,19
Guam,1
Guatemala,1
,-1
Honduras,1
Hong Kong,5
Hungary,23
,-1
Iceland,18
India,10
Iran,11
Ireland,7
Israel,7
Italy,23
,-1
Jamaica,8
Japan,21
,-1
Kazakhstan,7
Kenya,4
Korea,1
North Korea,9
South Korea,18
Kosovo,1
Kyrgyzstan,7
,-1
Latvia,11
Lebanon,17
Liechtenstein,19
Lithuania,9
Luxembourg,9
,-1
North Macedonia,6
Madagascar,2
Malaysia,1
Malta,2
Mexico,9
Moldova,7
Monaco,10
Mongolia,14
Montenegro,3
Morocco,7
,-1
Nepal,4
Netherlands,21
Netherlands Antilles,2
New Zealand,16
Nigeria,1
Norway,23
,-1
Pakistan,3
Paraguay,1
Peru,2
Philippines,5
Poland,23
Portugal,8
Puerto Rico,7
,-1
Romania,21
Russia,6
Unified Team,1
Olympic Athletes from Russia,1
Soviet Union,9
,-1
San Marino,10
Senegal,5
Serbia,3
Serbia and Montenegro,3
Yugoslavia,14
Slovakia,7
Slovenia,8
Singapore,1
South Africa,7
Spain,20
Swaziland,1
Sweden,23
Switzerland,23
,-1
Tajikistan,4
Thailand,4
Togo,2
Tonga,2
Trinidad and Tobago,3
Turkey,17
,-1
Ukraine,7
United States,23
Uruguay,1
Uzbekistan,7
,-1
Venezuela,4
Virgin Islands,7
,-1
Zimbabwe,1
,1117
